uuid,source,vertex_count,face_count,joint_count,bone_count,category_label,fileType,fileIdentifier
ed9cf526-a75b-53bf-ad61-35d442761295,github,171270,330877,52,51,"character, anthropomorphic",fbx,https://github.com/Phipson/SyntheticShapeShifter/blob/189901ee42e2bcc74d81285382642834f7a72148/Assets/Capstone/Scenes/CharacterStuff/GrannyWolfResources/Mixamo/GrannyWolf@idle.fbx
1bfe3cdb-f48b-5eb3-8bd7-9d7cee887c44,github,8763,4534,26,25,character,fbx,https://github.com/dg-unibe/Business-Management-Simulation/blob/eff45d30895464a40d9d421d4e160254936c609a/Business-Management-Simulation-main/Business Management Simulation NEW/Assets/Characters/Contents/Mesh/FemaleIdle.fbx
214d98fc-04e6-5c92-bf02-42681baeffd5,github,3323,4962,24,23,character,fbx,https://github.com/natureumedu/fireproress/blob/5a21201d42be182498f521006c55df90e5dd6fa1/Assets/Animatii/TakeDowns/Atacker/Front_Attack_Side_Neck_Stab_Finish_Atacker.fbx
2c3a3fa0-dbc0-599e-94fc-0d8e2b7b6eab,github,15329,21812,34,33,character,fbx,https://github.com/cuista/Projekt-Viktor/blob/b029b71eeb30d9b89a322674ddc83481d7ffcf64/Assets/Models/doctor/doctor.fbx
cb0aecdb-e7a7-5970-ac06-d72afdd5934b,github,102522,99007,28,27,"character, anthropomorphic",fbx,https://github.com/yuxuanino/FYP/blob/9b8391eb732b5f9062f46d36767dbcdbfe3c1332/FYP/Assets/Models/Player/RaikaCharAni/RightTurn.FBX
e4eea04e-2764-5e24-b2ed-69befcdedaaa,github,36391,59192,52,51,character,fbx,https://github.com/LiadDoh/FinalGameDevProject/blob/cb41e35d246f66c1d27835deabe400ca671ae1a1/Assets/Prefabs/Enemy2/Ch21_nonPBR@Neutral Idle.fbx
3311516a-d20b-5564-9fbb-928fb661f4cb,github,11482,20408,52,51,"character, mythical creature",fbx,https://github.com/Arawn00/2ndYProjectRecup/blob/c341d427c7c46029ecdbcc5f26338b1d150c3961/Assets/Enemy/Animations/Standing React Large From Back.fbx
d3386512-5f8a-5151-986a-9e44da0aaea9,github,21343,16828,22,21,vehicle,fbx,https://github.com/ignacioperezvelasco/Magnitude/blob/1b9bc50b794fbf49063fbcab202c7eeb30984c8f/Assets/_PROJECT/MODELS/BOSS/XkabatorAttackDis.fbx
ff571492-7dd6-58cb-9fff-8c057e29c4b8,github,93276,168716,52,51,"character, mythical creature",fbx,https://github.com/aikawayamato1/ProjectDark/blob/67c491ff5b3ea9c966fbaf9fe978b3247ddaaf53/Assets/Models/Enemy/Animated/Hybrid/Humanoid Biped Monster 3D/uploads_files_833903_MONSTER+RIG+2.fbx
23224299-531b-5ded-ba10-5fc3d45248d9,github,129662,236200,54,53,character,fbx,https://github.com/DaniGrin/FinalProj/blob/67a32fcec9276353bc5e366b2eb5eb430cd897e6/FinalProjUnity/Assets/Project/Animations/Player/Man_Mesh@Dying Backwards.fbx
76f3952d-83d0-53ef-8763-39110c2c4b43,github,3460,1244,29,28,animal,fbx,https://github.com/GITHUB243884919/Zoo_SuperMarket_Pure/blob/24055ce7b1ea70db21e45c1e63bbdb98170b1822/Zoo_SuperMarket_Pure/Assets/ArtResources/FBX/Animal/animal_030/animal_028.FBX
60106a88-4f4d-59b1-b044-a2675a92d632,github,9525,14660,54,53,"character, scanned data",fbx,https://github.com/Nyuu-s/ULearning1/blob/99187eedd6f3eb135099f661b480a7af8375f5c4/Assets/Mixamo/paladin/Root Bone/Dodge1.fbx
a3fa38f1-8a37-505f-9511-5b76a47d7b5a,github,3159,4358,34,33,"character, anthropomorphic",fbx,https://github.com/shamitfpgl/ShortcutRun/blob/bc6fa09f91632b0c9b669a09c96f7d611fe4c775/Assets/ShortcutRun/Anims/player/Male@Pick Up Item.fbx
04a82b6c-014c-5c07-8a4a-87a87e06679e,github,4336,1940,26,25,character,fbx,https://github.com/Rybersoft/Turn-Around/blob/c36359fc613ef7aa5ab634dc2a9c61d454bed7b9/Assets/Distant Lands Free Characters/Contents/Prefabs/Walking.fbx
36165a10-6ed5-50fa-85ff-0367029851d2,github,4515,3670,52,51,"character, anthropomorphic",fbx,https://github.com/tobydo/strangers/blob/4247c34c402b568fec43f445c598a05131ff774a/tien/Assets/Art/Characters/Duc/Typing.fbx
dddc0945-668a-5128-a0b3-cc9a13cba4b5,github,3365,5066,24,23,"animal, anthropomorphic",fbx,https://github.com/DRITHVIK/ToTheSea/blob/b89a59aadaf08ee35196bd6bff72495268fe274a/Assets/TTS_SharedFiles/Animations/Turtle/Turtle@In.fbx
3103726e-7b31-56db-a6ab-109d0037c5b7,github,15579,29032,47,46,"character, anthropomorphic",fbx,https://github.com/FunDreams01/Cannon-throw/blob/b0f7193ad9774b9f6ab10c4570077ecf04aa2496/Assets/3DModel/Character_V2.fbx
acf744e5-b797-55a8-ae8d-90366c6ff547,github,1622,1468,11,10,electronic device,fbx,https://github.com/HumanPlanetStudio/Tetra-Exploratory_0.1.0/blob/a83f41c97e637c6bd4c2cca10dfbeab6b097c158/Tetra-Exploratory_0.1.0/Assets/Tetra-Exploratory_0.1.0/Tetra_base_phase3_mockup/Meshes/Lamp/Lamp_for_Moon_v1_06102022_LOD1.fbx
bf3383e0-8328-527c-8d77-02a6467bd0ec,github,21912,11208,52,51,character,fbx,https://github.com/heurteph/PathOfEsthesia/blob/c269f788cfa2b2c7512fe40a0b94b9f212a8e325/SoA-Unity/Assets/Models/NPC/Joggers/JoggingSlow/character_NPC_M_03@Jogging.fbx
f5d6a0e3-665e-5a54-b1b1-666c7a9f9597,github,3083,4548,46,45,"character, mythical creature, anthropomorphic",fbx,https://github.com/Rosh-beast/Man-Vs-Zoombie/blob/a8954d8792f002e3b6d7dde95882f2d9c5e198ad/Enemy character/mremireh_o_desbiens@Zombie Idle.fbx
5938baf8-b2ed-54ac-bbec-73a3a59f6349,github,51688,82800,52,51,"character, anthropomorphic",fbx,https://github.com/wayjack/SIVSuperGroundSmash/blob/89ad98bf4f51c3eac89d50e81f14dce14a733a82/Assets/Animations/Player/Flying.fbx
c07e48a4-f601-5f9e-9cdd-ca5ff6821aae,github,9681,15952,60,59,character,glb,https://github.com/Inviernodev/reimwildlifediscovery/blob/060fc6437c65c79231a7f4b9791077d83d788e76/Assets/Resources/Avatars/0e1209d1-400b-45aa-8e7d-7445d18892b8.glb
4e376768-1417-5282-95a1-1e3206a8aedd,github,5486,9067,25,24,"anthropomorphic, mythical creature",fbx,https://github.com/AxoEngineers/axolittles-client/blob/45307c87a8e670a9bb2903bd6a43fe8a59ede1f4/Assets/BundleAssets/BaseModel/Devil/Devil.fbx
de0d4951-2c1b-59bc-b0da-c3e0a2e38c6f,github,21899,11208,52,51,character,fbx,https://github.com/heurteph/PathOfEsthesia/blob/c269f788cfa2b2c7512fe40a0b94b9f212a8e325/SoA-Unity/Assets/Models/NPC/Sitters/SittingTalking/character_NPC_M_04@Sitting Talking.fbx
a3f31757-fd4b-5fe6-8bdc-4e19db1b4da5,github,1480,1728,22,21,"character, mythical creature",fbx,https://github.com/JVlatt/PlatinumProject/blob/7d428760294dd71704883b5983c34f339cdb57c4/Plat/Assets/Visuals/3D Assets/Models/Characters/Butor/AM_Butor@TerrifiedIdle.fbx
